is_control,clique_size,skills_diversity
FALSE,5,0.57
FALSE,5,0.81
FALSE,5,0.59
FALSE,5,0.88
FALSE,5,0.58
FALSE,5,0.67
FALSE,5,0.60
FALSE,5,0.64
FALSE,5,0.71
FALSE,5,0.63
FALSE,5,0.67
FALSE,5,0.69
FALSE,5,0.50
FALSE,5,0.70
FALSE,5,0.75
FALSE,5,0.67
FALSE,5,0.73
FALSE,5,0.73
FALSE,5,0.75
FALSE,5,0.80
FALSE,5,0.73
FALSE,5,0.69
FALSE,5,0.69
FALSE,5,0.53
FALSE,5,0.75
FALSE,5,0.56
FALSE,5,0.71
FALSE,5,0.83
FALSE,5,0.65
FALSE,5,0.88
FALSE,5,0.64
FALSE,5,0.73
FALSE,5,0.71
FALSE,5,0.59
FALSE,5,0.60
FALSE,5,0.73
FALSE,5,0.67
FALSE,5,0.64
FALSE,5,0.61
FALSE,5,0.68
FALSE,5,0.73
FALSE,5,0.71
FALSE,5,0.73
FALSE,5,0.71
FALSE,5,0.59
FALSE,5,0.63
FALSE,5,0.79
FALSE,5,0.71
FALSE,5,0.69
FALSE,5,0.68
FALSE,5,0.62
FALSE,5,0.82
FALSE,5,0.67
FALSE,5,0.73
FALSE,5,0.61
FALSE,5,0.68
FALSE,5,0.65
FALSE,5,0.92
FALSE,5,0.71
FALSE,5,0.63
FALSE,5,0.77
FALSE,5,0.69
FALSE,5,0.55
FALSE,5,0.71
FALSE,5,0.75
FALSE,5,0.71
FALSE,5,0.63
FALSE,5,0.55
FALSE,5,0.69
FALSE,5,0.60
FALSE,5,0.69
FALSE,5,0.64
FALSE,5,0.68
FALSE,5,0.67
FALSE,5,0.62
FALSE,5,0.67
FALSE,5,0.75
FALSE,5,0.63
FALSE,5,0.60
FALSE,5,0.67
FALSE,5,0.60
FALSE,5,0.90
FALSE,5,0.75
FALSE,5,0.67
FALSE,5,0.79
FALSE,5,0.69
FALSE,5,0.55
FALSE,5,0.58
FALSE,5,0.67
FALSE,5,0.63
FALSE,5,0.58
FALSE,5,0.75
FALSE,5,0.67
FALSE,5,0.71
FALSE,5,0.67
FALSE,5,0.69
FALSE,5,0.64
FALSE,5,0.72
FALSE,5,0.74
FALSE,5,0.60
FALSE,5,0.76
FALSE,5,0.82
FALSE,5,0.67
FALSE,5,0.71
FALSE,5,0.67
FALSE,5,0.75
FALSE,5,0.69
FALSE,5,0.60
FALSE,5,0.72
FALSE,5,0.61
FALSE,5,0.71
FALSE,5,0.67
FALSE,5,0.64
FALSE,5,0.77
FALSE,5,0.58
FALSE,5,0.62
FALSE,5,0.71
FALSE,5,0.62
FALSE,5,0.60
FALSE,5,0.69
FALSE,5,0.55
FALSE,5,0.77
FALSE,5,0.67
FALSE,5,0.58
FALSE,5,0.58
FALSE,5,0.62
FALSE,5,0.64
FALSE,5,0.64
FALSE,5,0.67
FALSE,5,0.63
FALSE,5,0.67
FALSE,5,0.73
FALSE,5,0.69
FALSE,5,0.91
FALSE,5,0.71
FALSE,5,0.69
FALSE,5,0.69
FALSE,5,0.65
FALSE,5,0.91
FALSE,5,0.61
FALSE,5,0.69
FALSE,5,0.61
FALSE,5,0.71
FALSE,5,0.60
FALSE,5,0.65
FALSE,5,0.65
FALSE,5,0.77
FALSE,5,0.80
FALSE,5,0.73
FALSE,5,0.56
FALSE,5,0.63
FALSE,5,0.59
FALSE,5,0.71
FALSE,5,0.73
FALSE,5,0.50
FALSE,5,0.69
FALSE,5,0.70
FALSE,5,0.59
FALSE,5,0.79
FALSE,5,0.47
FALSE,5,0.56
FALSE,5,0.69
FALSE,5,0.71
FALSE,5,0.67
FALSE,5,0.61
FALSE,5,0.71
FALSE,5,0.61
FALSE,5,0.64
FALSE,5,0.63
FALSE,5,0.62
FALSE,5,0.60
FALSE,5,0.71
FALSE,5,0.89
FALSE,5,0.88
FALSE,5,0.77
FALSE,5,0.63
FALSE,5,0.76
FALSE,5,0.60
FALSE,2,0.86
FALSE,2,0.86
FALSE,3,0.80
FALSE,3,0.80
FALSE,4,0.80
FALSE,4,0.80
FALSE,4,0.64
FALSE,4,0.64
FALSE,5,0.71
FALSE,5,0.71
FALSE,5,0.71
FALSE,5,0.71
FALSE,3,0.82
FALSE,3,0.82
FALSE,2,0.88
FALSE,2,0.88
FALSE,3,0.78
FALSE,3,0.78
FALSE,2,0.71
FALSE,2,0.71
FALSE,4,0.80
FALSE,4,0.80
FALSE,3,0.71
FALSE,3,0.71
FALSE,3,0.82
FALSE,3,0.82
FALSE,2,0.89
FALSE,2,0.89
FALSE,2,1.00
FALSE,2,1.00
FALSE,6,0.57
FALSE,6,0.57
FALSE,6,0.61
FALSE,4,0.70
FALSE,4,0.70
FALSE,6,0.61
FALSE,6,0.61
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.59
FALSE,6,0.59
FALSE,6,0.75
FALSE,6,0.75
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.56
FALSE,6,0.56
FALSE,6,0.58
FALSE,6,0.58
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.65
FALSE,6,0.65
FALSE,6,0.75
FALSE,6,0.75
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.86
FALSE,6,0.86
FALSE,6,0.53
FALSE,6,0.53
FALSE,6,0.64
FALSE,6,0.64
FALSE,6,0.72
FALSE,6,0.72
FALSE,6,0.65
FALSE,6,0.65
FALSE,6,0.71
FALSE,6,0.71
FALSE,6,0.65
FALSE,6,0.65
FALSE,6,0.64
FALSE,6,0.64
FALSE,6,0.48
FALSE,6,0.48
FALSE,6,0.60
FALSE,6,0.60
FALSE,6,0.63
FALSE,6,0.68
FALSE,6,0.63
FALSE,6,0.68
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.62
FALSE,6,0.62
FALSE,6,0.61
FALSE,6,0.61
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.59
FALSE,6,0.59
FALSE,6,0.50
FALSE,6,0.50
FALSE,6,0.59
FALSE,6,0.59
FALSE,6,0.52
FALSE,6,0.52
FALSE,6,0.53
FALSE,6,0.53
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.69
FALSE,6,0.69
FALSE,6,0.60
FALSE,6,0.60
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.50
FALSE,6,0.50
FALSE,6,0.60
FALSE,6,0.60
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.71
FALSE,6,0.71
FALSE,6,0.71
FALSE,6,0.71
FALSE,6,0.62
FALSE,6,0.73
FALSE,6,0.73
FALSE,6,0.75
FALSE,6,0.75
FALSE,6,0.59
FALSE,6,0.59
FALSE,6,0.61
FALSE,6,0.61
FALSE,6,0.69
FALSE,6,0.69
FALSE,6,0.62
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.69
FALSE,6,0.69
FALSE,6,0.62
FALSE,6,0.62
FALSE,6,0.75
FALSE,6,0.75
FALSE,2,0.80
FALSE,2,0.80
FALSE,6,0.85
FALSE,6,0.85
FALSE,2,1.00
FALSE,2,1.00
FALSE,6,0.58
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.58
FALSE,6,0.58
FALSE,6,0.59
FALSE,6,0.59
FALSE,6,0.53
FALSE,6,0.53
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.56
FALSE,6,0.56
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.50
FALSE,6,0.50
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.65
FALSE,6,0.65
FALSE,6,0.48
FALSE,6,0.48
FALSE,6,0.53
FALSE,6,0.53
FALSE,6,0.68
FALSE,6,0.68
FALSE,6,0.52
FALSE,6,0.52
FALSE,6,0.52
FALSE,6,0.52
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.65
FALSE,6,0.65
FALSE,6,0.65
FALSE,6,0.65
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.85
FALSE,6,0.69
FALSE,6,0.85
FALSE,6,0.69
FALSE,6,0.68
FALSE,6,0.68
FALSE,6,0.75
FALSE,6,0.75
FALSE,6,0.59
FALSE,6,0.59
FALSE,6,0.57
FALSE,6,0.57
FALSE,6,0.59
FALSE,6,0.59
FALSE,6,0.67
FALSE,6,0.70
FALSE,6,0.67
FALSE,6,0.70
FALSE,6,0.62
FALSE,6,0.62
FALSE,6,0.65
FALSE,6,0.65
FALSE,6,0.56
FALSE,6,0.56
FALSE,6,0.50
FALSE,6,0.50
FALSE,6,0.60
FALSE,6,0.60
FALSE,6,0.60
FALSE,6,0.60
FALSE,6,0.70
FALSE,6,0.70
FALSE,6,0.61
FALSE,6,0.60
FALSE,6,0.61
FALSE,6,0.60
FALSE,6,0.59
FALSE,6,0.59
FALSE,6,0.56
FALSE,6,0.56
FALSE,6,0.56
FALSE,6,0.56
FALSE,6,0.54
FALSE,6,0.54
FALSE,6,0.69
FALSE,6,0.69
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.59
FALSE,6,0.59
FALSE,6,0.56
FALSE,6,0.56
FALSE,6,0.74
FALSE,6,0.74
FALSE,6,0.56
FALSE,6,0.56
FALSE,6,0.65
FALSE,6,0.65
FALSE,6,0.50
FALSE,6,0.62
FALSE,6,0.62
FALSE,6,0.56
FALSE,6,0.56
FALSE,6,0.64
FALSE,6,0.64
FALSE,6,0.59
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.67
FALSE,5,0.55
FALSE,5,0.55
FALSE,6,0.57
FALSE,6,0.57
FALSE,6,0.65
FALSE,6,0.65
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.71
FALSE,6,0.71
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.50
FALSE,6,0.50
FALSE,6,0.57
FALSE,6,0.57
FALSE,6,0.58
FALSE,6,0.58
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.67
FALSE,6,0.67
FALSE,6,0.57
FALSE,6,0.57
FALSE,6,0.61
FALSE,6,0.61
FALSE,6,0.61
FALSE,6,0.61
FALSE,6,0.69
FALSE,6,0.69
FALSE,6,0.60
FALSE,6,0.60
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.63
FALSE,6,0.63
FALSE,5,0.92
FALSE,5,0.92
FALSE,6,0.60
FALSE,6,0.60
FALSE,6,0.62
FALSE,6,0.62
FALSE,6,0.58
